2023-04-10 13:23:05 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-04-10 13:23:05 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 17.0.6 on MacBook-Pro-cua-luong.local with PID 11655 (/Users/luongvantrong/backend/microservice/java/microservices-demo/microservices-demo/config-server/target/classes started by luongvantrong in /Users/luongvantrong/backend/microservice/java/microservices-demo/microservices-demo)
2023-04-10 13:23:05 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-04-10 13:23:06 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5661a031-9c92-3b67-a98a-91252b007904
2023-04-10 13:23:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-10 13:23:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-04-10 13:23:06 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-10 13:23:06 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-04-10 13:23:06 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-10 13:23:06 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 598 ms
2023-04-10 13:23:06 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-10 13:23:06 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-04-10 13:23:06 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-10 13:23:06 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-04-10 13:23:06 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-04-10 13:23:06 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-04-10 13:23:06 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5b1efaaf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27585351, org.springframework.security.web.context.SecurityContextPersistenceFilter@6d6f6860, org.springframework.security.web.header.HeaderWriterFilter@ea7a4c3, org.springframework.security.web.csrf.CsrfFilter@3fcbc766, org.springframework.security.web.authentication.logout.LogoutFilter@43471a7e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@674da77b, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2d7637e6, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2de6f1bc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2ba42204, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@a85644c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4bf80c29, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5b35c7d, org.springframework.security.web.session.SessionManagementFilter@6af5b246, org.springframework.security.web.access.ExceptionTranslationFilter@4e8b357d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@ab2e6d2]
2023-04-10 13:23:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-04-10 13:23:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-10 13:23:09 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 4.652 seconds (JVM running for 5.097)
2023-04-10 13:23:19 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-10 13:23:19 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-10 13:23:19 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-10 13:23:20 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-7849113199579906144/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-7849113199579906144/'
2023-04-10 13:23:20 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-7849113199579906144/config-client.yml]' via location 'file:/var/folders/4z/qmvjh94n4cq6lr5bqr8l9yy00000gn/T/config-repo-7849113199579906144/'
